"37943915,""Burning bridges"",""Dobrovidova O."",""Science. 2023 Nov 10";"382(6671):632-637. doi: 10.1126/science.adm7955. Epub 2023 Nov 9."",""Dobrovidova O"",""Science"",""2023"",""2023/11/09"","""","""",""10.1126/science.adm7955"""
"38088027,""Negative diffusion of excitons in quasi-two-dimensional systems"",""Kurilovich AA, Mantsevich VN, Chechkin AV, Palyulin VV."",""Phys Chem Chem Phys. 2024 Jan 3";"26(2):922-935. doi: 10.1039/d3cp03521b."",""Kurilovich AA"",""Phys Chem Chem Phys"",""2024"",""2023/12/13"","""","""",""10.1039/d3cp03521b"""
"37939505,""Optogenetics for sensors: On-demand fluorescent labeling of histone epigenetics"",""Stepanov AI, Zhurlova PA, Shuvaeva AA, Sokolinskaya EL, Gurskaya NG, Lukyanov KA, Putlyaeva LV."",""Biochem Biophys Res Commun. 2023 Dec 20";"687:149174. doi: 10.1016/j.bbrc.2023.149174. Epub 2023 Oct 29."",""Stepanov AI"",""Biochem Biophys Res Commun"",""2023"",""2023/11/08"","""","""",""10.1016/j.bbrc.2023.149174"""
"37582322,""Сell clusters isolation in glioblastomas and their functional and molecular characterization using new morphometric approaches"",""Nikitin PV, Musina GR, Fayzullin AL, Bakulina AA, Nikolaev VN, Mikhailov VP, Werkenbark L, Kjelin M, Usachev DY, Timashev PS."",""Comput Biol Med. 2023 Sep";"164:107322. doi: 10.1016/j.compbiomed.2023.107322. Epub 2023 Aug 11."",""Nikitin PV"",""Comput Biol Med"",""2023"",""2023/08/15"","""","""",""10.1016/j.compbiomed.2023.107322"""
"38086639,""Fractional Marcus-Hush-Chidsey-Yakopcic current-voltage model for redox-based resistive memory devices"",""Paradezhenko GV, Prodan DV, Pervishko AA, Yudin D, Allagui A."",""Phys Chem Chem Phys. 2023 Dec 21";"26(1):621-627. doi: 10.1039/d3cp04177h."",""Paradezhenko GV"",""Phys Chem Chem Phys"",""2023"",""2023/12/12"","""","""",""10.1039/d3cp04177h"""
"37527271,""Biomarkers of professional cybersportsmen: Event related potentials and cognitive tests study"",""Gostilovich S, Kotliar Shapirov A, Znobishchev A, Phan AH, Cichocki A."",""PLoS One. 2023 Aug 1";"18(8):e0289293. doi: 10.1371/journal.pone.0289293. eCollection 2023."",""Gostilovich S"",""PLoS One"",""2023"",""2023/08/01"",""PMC10393144"","""",""10.1371/journal.pone.0289293"""
"37450438,""Human nucleolar protein SURF6/RRP14 participates in early steps of pre-rRNA processing"",""Moraleva A, Deryabin A, Kordyukova M, Polzikov M, Shishova K, Dobrochaeva K, Rubtsov Y, Rubtsova M, Dontsova O, Zatsepina O."",""PLoS One. 2023 Jul 14";"18(7):e0285833. doi: 10.1371/journal.pone.0285833. eCollection 2023."",""Moraleva A"",""PLoS One"",""2023"",""2023/07/14"",""PMC10348582"","""",""10.1371/journal.pone.0285833"""
"37515103,""An Early SARS-CoV-2 Omicron Outbreak in a Dormitory in Saint Petersburg, Russia"",""Klink GV, Danilenko D, Komissarov AB, Yolshin N, Shneider O, Shcherbak S, Nabieva E, Shvyrev N, Konovalova N, Zheltukhina A, Fadeev A, Komissarova K, Ksenafontov A, Musaeva T, Eder V, Pisareva M, Nekrasov P, Shchur V, Bazykin GA, Lioznov D."",""Viruses. 2023 Jun 22";"15(7):1415. doi: 10.3390/v15071415."",""Klink GV"",""Viruses"",""2023"",""2023/07/29"",""PMC10385080"","""",""10.3390/v15071415"""
"37035942,""Understanding the High Voltage Behavior of LiNiO(2) Through the Electrochemical Properties of the Surface Layer"",""Bautista Quisbert E, Fauth F, Abakumov AM, Blangero M, Guignard M, Delmas C."",""Small. 2023 Jul";"19(30):e2300616. doi: 10.1002/smll.202300616. Epub 2023 Apr 10."",""Bautista Quisbert E"",""Small"",""2023"",""2023/04/10"","""","""",""10.1002/smll.202300616"""
"38347042,""Neuronal travelling waves explain rotational dynamics in experimental datasets and modelling"",""Kuzmina E, Kriukov D, Lebedev M."",""Sci Rep. 2024 Feb 12";"14(1):3566. doi: 10.1038/s41598-024-53907-2."",""Kuzmina E"",""Sci Rep"",""2024"",""2024/02/12"",""PMC10861525"","""",""10.1038/s41598-024-53907-2"""
"38006172,""Hair-Reinforced Elastomer Matrix Composites: Formulation, Mechanical Testing, and Advanced Microstructural Characterization"",""Statnik ES, Cvjetinovic J, Ignatyev SD, Wassouf L, Salimon AI, Korsunsky AM."",""Polymers (Basel). 2023 Nov 17";"15(22):4448. doi: 10.3390/polym15224448."",""Statnik ES"",""Polymers (Basel)"",""2023"",""2023/11/25"",""PMC10675470"","""",""10.3390/polym15224448"""
"37957211,""Constrained DFT-based magnetic machine-learning potentials for magnetic alloys: a case study of Fe-Al"",""Kotykhov AS, Gubaev K, Hodapp M, Tantardini C, Shapeev AV, Novikov IS."",""Sci Rep. 2023 Nov 13";"13(1):19728. doi: 10.1038/s41598-023-46951-x."",""Kotykhov AS"",""Sci Rep"",""2023"",""2023/11/13"",""PMC10643701"","""",""10.1038/s41598-023-46951-x"""
"37845229,""Thermal-structural hybrid Lagrangian solver and numerical simulation-based correction of shape deformation of stainless-steel parts produced by laser powder bed fusion"",""Tsivilskiy I, Shishkovsky I."",""Sci Rep. 2023 Oct 16";"13(1):17535. doi: 10.1038/s41598-023-43968-0."",""Tsivilskiy I"",""Sci Rep"",""2023"",""2023/10/16"",""PMC10579232"","""",""10.1038/s41598-023-43968-0"""
"38060245,""Revision of the oxygen reduction reaction on N-doped graphenes by grand-canonical DFT"",""Kislenko VA, Pavlov SV, Nikitina VA, Kislenko SA."",""Phys Chem Chem Phys. 2023 Dec 21";"26(1):293-303. doi: 10.1039/d3cp04517j."",""Kislenko VA"",""Phys Chem Chem Phys"",""2023"",""2023/12/07"","""","""",""10.1039/d3cp04517j"""
"38401265,""Mutational Signatures in Wild Type Escherichia coli Strains Reveal Predominance of DNA Polymerase Errors"",""Garushyants SK, Sane M, Selifanova MV, Agashe D, Bazykin GA, Gelfand MS."",""Genome Biol Evol. 2024 Apr 2";"16(4):evae035. doi: 10.1093/gbe/evae035."",""Garushyants SK"",""Genome Biol Evol"",""2024"",""2024/02/24"",""PMC10995721"","""",""10.1093/gbe/evae035"""
"38549026,""The Strategy for Peptidomic LC-MS/MS Data Analysis: The Case of Urinary Peptidome Study"",""Zakharova NV, Bugrova AE, Indeykina MI, Brzhozovskiy AG, Nikolaev EN, Kononikhin AS."",""Methods Mol Biol. 2024";"2758:389-399. doi: 10.1007/978-1-0716-3646-6_21."",""Zakharova NV"",""Methods Mol Biol"",""2024"",""2024/03/29"","""","""",""10.1007/978-1-0716-3646-6_21"""
"37432424,""Solid-liquid phase transition inside van der Waals nanobubbles: an atomistic perspective"",""Korneva M, Zhilyaev P."",""Phys Chem Chem Phys. 2023 Jul 19";"25(28):18788-18796. doi: 10.1039/d3cp01285a."",""Korneva M"",""Phys Chem Chem Phys"",""2023"",""2023/07/11"","""","""",""10.1039/d3cp01285a"""
"38037396,""Tuning the surface properties of AuPd nanoparticles for adsorption of O and CO"",""Chepkasov IV, Zamulin IS, Baidyshev VS, Kvashnin AG."",""Phys Chem Chem Phys. 2023 Dec 13";"25(48):33031-33037. doi: 10.1039/d3cp03213b."",""Chepkasov IV"",""Phys Chem Chem Phys"",""2023"",""2023/12/01"","""","""",""10.1039/d3cp03213b"""
"38297034,""Wildfire spreading prediction using multimodal data and deep neural network approach"",""Shadrin D, Illarionova S, Gubanov F, Evteeva K, Mironenko M, Levchunets I, Belousov R, Burnaev E."",""Sci Rep. 2024 Jan 31";"14(1):2606. doi: 10.1038/s41598-024-52821-x."",""Shadrin D"",""Sci Rep"",""2024"",""2024/01/31"",""PMC10831103"","""",""10.1038/s41598-024-52821-x"""
"37956965,""Genetic relationships between reproductive and production traits in Jersey crossbred cattle"",""Roy I, Rahman M, Karunakaran M, Gayari I, Baneh H, Mandal A."",""Gene. 2024 Feb 5";"894:147982. doi: 10.1016/j.gene.2023.147982. Epub 2023 Nov 11."",""Roy I"",""Gene"",""2024"",""2023/11/13"","""","""",""10.1016/j.gene.2023.147982"""
"38214125,""Genetic aspects of Wood's lactation curve parameters in Jersey crossbred cattle using Bayesian approach"",""Rahman M, Baneh H, Gayari I, Karunakaran M, Raja TV, Deb SM, Mandal A."",""J Dairy Res. 2023 Nov";"90(4):332-338. doi: 10.1017/S0022029923000754. Epub 2024 Jan 12."",""Rahman M"",""J Dairy Res"",""2023"",""2024/01/12"","""","""",""10.1017/S0022029923000754"""
"38664442,""A Microfluidic and Numerical Analysis of Non-equilibrium Phase Behavior of Gas Condensates"",""Dorhjie DB, Pereponov D, Aminev T, Gimazov A, Khamidullin D, Kuporosov D, Tarkhov M, Rykov A, Filippov I, Mukhina E, Shilov E, Grishin P, Cheremisin A."",""Sci Rep. 2024 Apr 25";"14(1):9500. doi: 10.1038/s41598-024-59972-x."",""Dorhjie DB"",""Sci Rep"",""2024"",""2024/04/25"",""PMC11045818"","""",""10.1038/s41598-024-59972-x"""
"38424163,""Dissection of figured wood trait in curly birch (Betula pendula Roth var. carelica (Mercklin) Hämet-Ahti) using high-throughput genotyping"",""Gubaev R, Karzhaev D, Grigoreva E, Lytkin K, Safronycheva E, Volkov V, Nesterchuk V, Vetchinnikova L, Zhigunov A, Potokina E."",""Sci Rep. 2024 Mar 1";"14(1):5058. doi: 10.1038/s41598-024-55404-y."",""Gubaev R"",""Sci Rep"",""2024"",""2024/02/29"",""PMC10904815"","""",""10.1038/s41598-024-55404-y"""
"37253093,""Toward On-Chip Multisensor Arrays for Selective Methanol and Ethanol Detection at Room Temperature: Capitalizing the Graphene Carbonylation"",""Rabchinskii MK, Sysoev VV, Varezhnikov AS, Solomatin MA, Struchkov NS, Stolyarova DY, Ryzhkov SA, Antonov GA, Gabrelian VS, Cherviakova PD, Baidakova MV, Krasnova AO, Brzhezinskaya M, Pavlov SI, Kirilenko DA, Kislenko VA, Pavlov SV, Kislenko SA, Brunkov PN."",""ACS Appl Mater Interfaces. 2023 Jun 14";"15(23):28370-28386. doi: 10.1021/acsami.3c02833. Epub 2023 May 30."",""Rabchinskii MK"",""ACS Appl Mater Interfaces"",""2023"",""2023/05/30"","""","""",""10.1021/acsami.3c02833"""
"38194837,""Two-in-one sensor of refractive index and Raman scattering using hollow-core microstructured optical waveguides for colloid characterization"",""Merdalimova A, Barmin R, Vorobev V, Aleksandrov A, Terentyeva D, Estifeeva T, Chernyshev V, German S, Maslov O, Skibina Y, Rudakovskaya P, Gorin D."",""Colloids Surf B Biointerfaces. 2024 Feb";"234:113705. doi: 10.1016/j.colsurfb.2023.113705. Epub 2023 Dec 12."",""Merdalimova A, Zatsepin T"",""Colloids Surf B Biointerfaces"",""2024"",""2024/01/09"","""","""",""10.1016/j.colsurfb.2023.113705"""
"38806570,""An experimental study of foam-oil interactions for nonionic-based binary surfactant systems under high salinity conditions"",""Bello A, Ivanova A, Bakulin D, Yunusov T, Rodionov A, Burukhin A, Cheremisin A."",""Sci Rep. 2024 May 28";"14(1):12208. doi: 10.1038/s41598-024-62610-1."",""Bello A"",""Sci Rep"",""2024"",""2024/05/28"",""PMC11133364"","""",""10.1038/s41598-024-62610-1"""
"38092822,""Forest age estimation in northern Arkhangelsk region based on machine learning pipeline on Sentinel-2 and auxiliary data"",""Smolina A, Illarionova S, Shadrin D, Kedrov A, Burnaev E."",""Sci Rep. 2023 Dec 13";"13(1):22167. doi: 10.1038/s41598-023-49207-w."",""Smolina A"",""Sci Rep"",""2023"",""2023/12/13"",""PMC10719398"","""",""10.1038/s41598-023-49207-w"""
"38227987,""Magnetically navigated microbubbles coated with albumin/polyarginine and superparamagnetic iron oxide nanoparticles"",""Gusliakova OI, Kurochkin MA, Barmin RA, Prikhozhdenko ES, Estifeeva TM, Rudakovskaya PG, Sindeeva OA, Galushka VV, Vavaev ES, Komlev AS, Lyubin EV, Fedyanin AA, Dey KK, Gorin DA."",""Biomater Adv. 2024 Apr";"158:213759. doi: 10.1016/j.bioadv.2024.213759. Epub 2024 Jan 9."",""Gusliakova OI"",""Biomater Adv"",""2024"",""2024/01/16"","""","""",""10.1016/j.bioadv.2024.213759"""
"38288883,""Genetic analysis of body weight and growth curve parameters in Muzaffarnagari sheep of India"",""Mandal A, Gayari I, Baneh H, Notter DR."",""J Anim Breed Genet. 2024 Jul";"141(4):425-439. doi: 10.1111/jbg.12854. Epub 2024 Jan 30."",""Mandal A"",""J Anim Breed Genet"",""2024"",""2024/01/30"","""","""",""10.1111/jbg.12854"""
"38740798,""Scaling of damage mechanism for additively manufactured alloys at very high cycle fatigue"",""Voloskov BS, Bannikov MV, Bayandin YV, Naimark OB, Sergeichev IV."",""Sci Rep. 2024 May 13";"14(1):10915. doi: 10.1038/s41598-024-61033-2."",""Voloskov BS"",""Sci Rep"",""2024"",""2024/05/13"",""PMC11091109"","""",""10.1038/s41598-024-61033-2"""
"38272204,""The effect of membrane composition on the interaction between human CYP51 and its flavonoid inhibitor - luteolin 7,3'-disulfate"",""Kaluzhskiy L, Yablokov E, Gnedenko O, Burkatovskii D, Maslov I, Bogorodskiy A, Ershov P, Tsybruk T, Zelepuga E, Rutckova T, Kozlovskaya E, Dmitrenok P, Gilep A, Borshchevskiy V, Strushkevich N, Ivanov A."",""Biochim Biophys Acta Biomembr. 2024 Mar";"1866(3):184286. doi: 10.1016/j.bbamem.2024.184286. Epub 2024 Jan 23."",""Kaluzhskiy L"",""Biochim Biophys Acta Biomembr"",""2024"",""2024/01/25"","""","""",""10.1016/j.bbamem.2024.184286"""
"38088087,""Trapping and thermal migration of the first- and second-row atoms in Ar, Kr and Xe crystals"",""Leibin IV, Bezrukov DS, Buchachenko AA."",""Phys Chem Chem Phys. 2024 Jan 3";"26(2):958-973. doi: 10.1039/d3cp04178f."",""Leibin IV"",""Phys Chem Chem Phys"",""2024"",""2023/12/13"","""","""",""10.1039/d3cp04178f"""
"38307876,""Knockdown of Hyaluronan synthase 2 suppresses liver fibrosis in mice via induction of transcriptomic changes similar to 4MU treatment"",""Halimani N, Nesterchuk M, Tsitrina AA, Sabirov M, Andreichenko IN, Dashenkova NO, Petrova E, Kulikov AM, Zatsepin TS, Romanov RA, Mikaelyan AS, Kotelevtsev YV."",""Sci Rep. 2024 Feb 2";"14(1):2797. doi: 10.1038/s41598-024-53089-x."",""Halimani N"",""Sci Rep"",""2024"",""2024/02/02"",""PMC10837461"","""",""10.1038/s41598-024-53089-x"""
"38567730,""RecA-dependent or independent recombination of plasmid DNA generates a conflict with the host EcoKI immunity by launching restriction alleviation"",""Skutel M, Yanovskaya D, Demkina A, Shenfeld A, Musharova O, Severinov K, Isaev A."",""Nucleic Acids Res. 2024 May 22";"52(9):5195-5208. doi: 10.1093/nar/gkae243."",""Skutel M"",""Nucleic Acids Res"",""2024"",""2024/04/03"",""PMC11109961"","""",""10.1093/nar/gkae243"""
"38004860,""Towards High-Temperature MEMS: Two-Step Annealing Suppressed Recrystallization in Thin Multilayer Pt-Rh/Zr Films"",""Pleshakov GA, Kalinin IA, Ivanov AV, Roslyakov IV, Yaminsky IV, Napolskii KS."",""Micromachines (Basel). 2023 Oct 28";"14(11):2003. doi: 10.3390/mi14112003."",""Pleshakov GA"",""Micromachines (Basel)"",""2023"",""2023/11/25"",""PMC10673003"","""",""10.3390/mi14112003"""
"38847010,""Dataset on investigating nucleation and growth kinetics of methane hydrate in aqueous methanol solutions"",""Semenov AP, Tulegenov TB, Mendgaziev RI, Stoporev AS, Istomin VA, Sergeeva DV, Lednev DA, Vinokurov VA."",""Data Brief. 2024 May 17";"54:110517. doi: 10.1016/j.dib.2024.110517. eCollection 2024 Jun."",""Semenov AP"",""Data Brief"",""2024"",""2024/06/07"",""PMC11153902"","""",""10.1016/j.dib.2024.110517"""
"38834596,""Theoretical study of adsorption properties and CO oxidation reaction on surfaces of higher tungsten boride"",""Radina AD, Baidyshev VS, Chepkasov IV, Matsokin NA, Altalhi T, Yakobson BI, Kvashnin AG."",""Sci Rep. 2024 Jun 4";"14(1):12788. doi: 10.1038/s41598-024-63676-7."",""Radina AD"",""Sci Rep"",""2024"",""2024/06/04"",""PMC11150424"","""",""10.1038/s41598-024-63676-7"""
"38379890,""Data on searching for synergy between alcohol and salt to produce more potent and environmentally benign gas hydrate inhibitors"",""Semenov AP, Mendgaziev RI, Istomin VA, Sergeeva DV, Vinokurov VA, Gong Y, Li T, Stoporev AS."",""Data Brief. 2024 Feb 9";"53:110138. doi: 10.1016/j.dib.2024.110138. eCollection 2024 Apr."",""Semenov AP"",""Data Brief"",""2024"",""2024/02/21"",""PMC10877679"","""",""10.1016/j.dib.2024.110138"""
"28092662,""Neuroimmune communication"","""",""Nat Neurosci. 2017 Feb";"20(2):127. doi: 10.1038/nn.4496. Epub 2017 Jan 16."","""",""Nat Neurosci"",""2017"",""2017/01/17"","""","""",""10.1038/nn.4496"""
"36879143,""Elena Galea (1962-2023)"",""Feinstein DL, Zatsepin T, Sviridov E"",""Nat Neurosci. 2023 Apr";"26(4):532-533. doi: 10.1038/s41593-023-01279-7."",""Feinstein DL,""Nat Neurosci"",""2023"",""2023/03/06"","""","""",""10.1038/s41593-023-01279-7"""
"25710827,""Focus on epilepsy"","""",""Nat Neurosci. 2015 Mar";"18(3):317. doi: 10.1038/nn.3964."","""",""Nat Neurosci"",""2015"",""2015/02/25"","""","""",""10.1038/nn.3964"""
"35524134,""Dopamine surprises"",""Wiseman S."",""Nat Neurosci. 2022 May";"25(5):531. doi: 10.1038/s41593-022-01080-y."",""Wiseman S"",""Nat Neurosci"",""2022"",""2022/05/06"","""","""",""10.1038/s41593-022-01080-y"""
"34992289,""Localizing spikes"",""Ranade S."",""Nat Neurosci. 2022 Jan";"25(1):2. doi: 10.1038/s41593-021-00993-4."",""Ranade S"",""Nat Neurosci"",""2022"",""2022/01/07"","""","""",""10.1038/s41593-021-00993-4"""
"36882672,""Single-synapse sequencing"",""Wiseman S."",""Nat Neurosci. 2023 Mar";"26(3):365. doi: 10.1038/s41593-023-01278-8."",""Wiseman S"",""Nat Neurosci"",""2023"",""2023/03/07"","""","""",""10.1038/s41593-023-01278-8"""
"38040968,""A farewell to 2023"","""",""Nat Neurosci. 2023 Dec";"26(12):2037. doi: 10.1038/s41593-023-01530-1."","""",""Nat Neurosci"",""2023"",""2023/12/01"","""","""",""10.1038/s41593-023-01530-1"""
"23619751,""Raising standards"","""",""Nat Neurosci. 2013 May";"16(5):517. doi: 10.1038/nn.3391."","""",""Nat Neurosci"",""2013"",""2013/04/27"","""","""",""10.1038/nn.3391"""
"38040969,""How we promote data sharing"","""",""Nat Neurosci. 2023 Dec";"26(12):2038. doi: 10.1038/s41593-023-01529-8."","""",""Nat Neurosci"",""2023"",""2023/12/01"","""","""",""10.1038/s41593-023-01529-8"""
"26404707,""Focus on stress"","""",""Nat Neurosci. 2015 Oct";"18(10):1343. doi: 10.1038/nn.4127."","""",""Nat Neurosci"",""2015"",""2015/09/26"","""","""",""10.1038/nn.4127"""
